code,lu,ref_to,Flor_Cov_P1_b,Flor_Cov_P1_l,Flor_Cov_P1_u,Flor_Cov_P2_b,Flor_Cov_P2_l,Flor_Cov_P2_u,Flor_Cov_P3_b,Flor_Cov_P3_l,Flor_Cov_P3_u,Flor_Cov_P4_b,Flor_Cov_P4_l,Flor_Cov_P4_u
33,33,NA,0,0,0,29.53217956,26.89461864,32.16974047,19.77124183,13.33256629,26.20991737,3.089430894,0.841157103,5.337704685
34,34,NA,31.775,26.91538607,36.63461393,0,0,0,32.63333333,22.3384217,42.92824497,8.055555556,3.749367673,12.36174344
35,35,NA,9.071180556,5.55033778,12.59202333,9.071180556,5.55033778,12.59202333,34.69387755,25.85509124,43.53266386,8.571428571,4.725093065,12.41776408
36,36,NA,15.22491349,12.19651276,18.25331423,15.22491349,12.19651276,18.25331423,29.15555556,16.39093845,41.92017266,5.925925926,2.843830189,9.008021662
37,37,NA,0,0,0,10.79365079,-0.7345127,22.32181429,22.11734694,19.65235318,24.58234069,0,NA,NA
38,38,NA,0,NA,NA,0,NA,NA,13.33333333,7.676479084,18.99018758,NA,NA,NA
39,39,NA,0,NA,NA,0,NA,NA,2.962962963,-2.208977794,8.13490372,2.962962963,-2.208977794,8.13490372
40,40,NA,0,0,0,48.44907407,36.70534467,60.19280348,61.61242604,49.78265283,73.44219924,15.90909091,8.298427523,23.5197543
41,41,NA,0,0,0,10.0308642,6.312650306,13.74907809,61.44470868,50.0044681,72.88494926,8.653846154,3.767217944,13.54047436
42,42,NA,0,NA,NA,0,NA,NA,20,11.51471863,28.48528137,5,2.878679656,7.121320344
43,43,NA,2.5,0.060249818,4.939750182,2.5,0.060249818,4.939750182,37.14285714,22.02427822,52.26143606,4.444444444,-0.424200511,9.3130894
44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,46,NA,0,0,0,0,0,0,0,0,0,0,0,0
